trade_date,ts_code,name,pred_open_d1,pred_return,ret_delta
20251107,600078.SH,澄星股份,11.31837272644043,9.20439337805119,-1.5114178305946746
20251107,000592.SZ,平潭发展,9.16708755493164,8.14087129734431,-5.2282764858295305
20251107,603778.SH,国晟科技,5.068728446960449,6.75970330295792,-6.172934641321004
20251107,002333.SZ,罗普斯金,6.275922775268555,5.67428229691147,-3.968703901612902
20251110,600078.SH,澄星股份,12.309452056884766,8.535661170231034,-3.104922559792467
20251110,603192.SH,汇得科技,26.307777404785156,7.167268184811637,-6.140785083300893
20251110,600681.SH,百川能源,4.738533020019531,6.073147434972603,-4.264528535850021
20251110,600408.SH,安泰集团,4.041684627532959,5.216970395802245,-3.983984281070274
20251110,603823.SH,百合花,17.488012313842773,4.843714617300732,-4.455039121102589
20251111,603759.SH,海天股份,15.12224006652832,9.895305049120552,-2.3659021077381936
20251111,000592.SZ,平潭发展,8.86404037475586,8.457903995692174,-4.887437931845118
20251111,000014.SZ,沙河股份,16.48642349243164,5.245970754351603,-3.550064679418208
20251111,603119.SH,浙江荣泰,84.80064392089844,4.4631861620904045,2.3145909096223827
20251111,002679.SZ,福建金森,13.050751686096191,4.381869966751917,-1.6250267591667589
20251112,603052.SH,可川科技,35.44817352294922,6.164459965324087,-2.949240346894655
20251112,000592.SZ,平潭发展,8.748942375183105,5.5749153178897615,0.5711509230358347
20251112,000962.SZ,东方钽业,28.305749893188477,4.528063501799018,-3.2644509072676797
20251112,603067.SH,振华股份,32.85550308227539,4.1254828266443555,-2.741061263532596
20251112,000755.SZ,山西高速,5.745677471160889,3.8365636789199575,-1.9106967816939768
20251113,000620.SZ,盈新发展,3.187246799468994,9.456522659685618,3.256414521415274
20251113,600268.SH,国电南自,12.374846458435059,5.920285344984211,-3.4966280198422295
20251113,603301.SH,振德医疗,92.18989562988281,4.080410487333763,-2.4182982586710366
20251113,000592.SZ,平潭发展,8.990291595458984,4.020312842856,-1.8205016022662113
